date,type,total,math18review,math18matlab,math18hw,dsc10review,dsc10hw,math20breview,math20bhw,doc1,cogs9,pp,exam
10/21/22,I,153,60,0,0,27,0,25,0,0,0,0,0
10/21/22,I,63,63,0,0,0,0,0,0,0,0,0,63
10/22/22,I,326,0,73,0,8,125,0,0,0,0,0,0
10/22/22,G,220,0,0,0,0,71,15,120,0,0,0,0
10/23/22,I,110,42,0,0,0,0,0,68,0,0,0,0
10/23/22,G,185,0,0,0,0,185,0,0,0,0,0,0
10/23/22,I,190,48,0,0,25,0,0,49,50,0,0,0
10/23/22,G,85,0,57,0,0,0,0,17,0,0,0,0
10/24/22,I,165,58,0,39,30,0,23,0,0,0,0,0
10/24/22,G,129,0,0,80,0,0,0,0,30,19,0,0
10/25/22,I,187,30,90,0,0,0,0,0,12,0,58,0
10/25/22,I,256,15,0,0,0,90,0,146,0,0,0,0
10/26/22,I,202,51,0,0,18,0,23,100,0,0,0,0
10/26/22,G,128,0,0,0,0,45,0,0,0,83,0,0
10/26/22,G,158,30,0,50,0,0,28,20,0,30,0,0
10/27/22,I,127,0,0,0,0,0,0,0,127,0,0,0
10/27/22,G,60,0,0,0,0,45,0,0,0,0,0,0
10/27/22,G,90,0,0,0,0,90,0,0,0,0,0,0
10/27/22,I,82,0,0,0,82,0,0,0,0,0,0,0
10/28/22,I,96,54,0,0,0,0,30,0,0,0,0,0
10/28/22,G,90,0,0,0,0,0,0,0,0,90,0,0
10/29/22,I,210,90,0,45,0,0,0,0,0,0,0,0
10/29/22,I,82,0,0,0,0,0,0,60,0,0,22,0
10/30/22,I,97,0,0,0,25,0,25,47,0,0,0,0
10/30/22,G,120,0,0,0,0,120,0,0,0,0,0,0
10/30/22,I,40,0,0,0,20,0,0,20,0,0,0,0
10/30/22,G,60,0,0,0,30,0,30,0,0,0,0,0
10/31/22,G,217,30,0,0,37,90,0,60,0,0,0,0
11/1/22,I,203,30,0,60,0,0,0,0,0,83,30,0
11/1/22,G,120,0,0,0,0,0,0,0,0,0,120,0
11/2/22,I,190,50,0,0,64,0,22,0,52,0,0,0
11/3/22,G,205,0,0,0,90,115,0,0,0,0,0,0
11/3/22,G,100,0,0,0,20,0,0,0,50,10,20,0
11/5/22,G,250,16,0,86,9,50,0,90,0,0,0,0
11/6/22,I,268,0,0,0,97,89,30,60,0,0,0,0
11/6/22,I,107,107,0,0,0,0,0,0,0,0,0,107
11/7/22,I,194,153,0,0,41,0,20,0,0,0,0,153
11/7/22,G,145,145,0,0,0,0,0,0,0,0,0,145
11/8/22,I,186,48,0,0,0,30,0,107,0,0,0,48
11/9/22,I,283,45,0,120,15,0,0,20,0,0,64,45
11/10/22,G,240,190,0,0,0,0,0,0,50,0,0,190
11/11/22,G,221,0,0,0,0,81,0,0,0,110,30,0
11/11/22,I,72,0,0,0,0,0,0,0,0,72,0,0
11/12/22,G,322,23,0,0,0,0,248,0,51,0,0,248
11/13/22,I,120,0,0,0,0,0,0,0,120,0,0,0
11/13/22,G,170,0,0,0,20,170,0,0,0,0,0,0
11/13/22,G,80,0,0,0,0,30,50,0,0,0,0,50
11/14/22,G,60,0,0,0,20,0,20,0,0,20,0,0
11/14/22,G,226,39,0,0,0,0,60,0,0,0,127,60
11/15/22,G,476,60,150,60,70,72,0,0,0,64,30,0
11/16/22,I,253,28,0,0,33,47,100,0,0,75,0,0
11/17/22,I,372,0,0,17,19,151,0,125,0,0,60,0
11/18/22,I,159,36,0,0,30,0,20,0,43,30,0,0
11/19/22,G,210,0,0,20,30,73,0,45,0,42,0,0
11/20/22,I,324,0,0,0,30,0,19,60,60,155,0,0
11/21/22,I,363,150,0,0,35,60,35,30,0,23,30,0
11/22/22,I,285,10,0,45,0,110,0,0,0,90,30,0
11/23/22,I,285,41,0,85,15,0,24,120,0,0,0,0
11/24/22,I,235,0,45,0,0,0,0,60,110,20,0,0
11/25/22,I,275,0,0,0,182,0,0,0,0,93,0,275
11/26/22,I,403,310,0,0,93,0,0,0,0,0,0,403
11/27/22,I,395,180,0,0,155,0,0,0,0,60,0,395
11/28/22,I,295,30,0,30,30,0,25,60,0,90,30,295
11/29/22,I,297,80,0,0,60,90,30,0,0,37,0,207
11/30/22,I,245,90,30,0,20,0,45,0,60,0,0,155
12/1/22,G,331,158,0,0,128,0,45,0,0,0,0,331
12/2/22,I,245,35,0,0,180,0,30,0,0,0,0,245
12/3/22,I,540,180,0,0,180,0,180,0,0,0,0,540
12/4/22,G,180,0,0,0,0,0,0,0,0,0,180,0
12/5/22,I,270,0,0,0,0,0,0,0,0,70,200,0
12/6/22,I,340,90,0,0,0,0,0,0,30,50,170,0
12/7/22,G,155,60,0,0,0,0,0,0,0,35,60,0
12/8/22,I,361,0,0,0,0,0,0,0,0,55,306,0
12/9/22,I,90,0,0,0,0,0,0,0,0,0,90,0
12/14/22,I,60,0,0,0,0,0,0,0,0,0,60,0
