date,day,type,total,training_spring23,reading_spring23,pp_spring23,cogs14a,cogs17,dsc30,math20e,doc3
4/3/23,mon,I,210,0,0,0,10,0,200,0,0
4/4/23,tue,I,215,90,0,90,0,20,15,0,0
4/5/23,wed,I,425,0,0,240,10,0,160,15,0
4/6/23,thur,I,310,60,0,130,0,60,60,0,0
4/7/23,fri,I,235,10,0,30,0,15,120,60,0
4/8/23,sat,I,315,60,0,45,0,0,60,150,0
4/9/23,sun,I,265,0,0,190,0,0,75,0,0
4/10/23,mon,I,240,0,0,190,0,0,30,20,0
4/11/23,tue,I,445,45,60,50,0,180,110,0,0
4/12/23,wed,I,305,0,0,90,30,0,0,45,140
4/13/23,thur,I,135,0,0,80,0,0,45,10,0
4/14/23,fri,I,300,0,0,195,0,0,75,30,0
4/15/23,sat,I,360,0,0,60,0,0,250,30,20
4/16/23,sun,I,315,0,60,15,0,75,75,90,0
4/17/23,mon,I,265,0,90,0,0,0,165,10,0
4/18/23,tue,I,480,60,0,50,0,20,350,0,0
4/19/23,wed,I,335,0,90,0,20,30,175,20,0
4/20/23,thur,I,380,15,70,0,0,15,200,40,40
4/21/23,fri,I,190,0,0,120,20,0,10,40,0
4/22/23,sat,I,205,60,0,10,0,0,30,105,0
4/23/23,sun,I,380,0,200,0,0,0,180,0,0
4/24/23,mon,I,330,0,0,0,0,45,195,0,90
4/25/23,tue,I,400,70,10,0,40,0,230,50,0
4/26/23,wed,I,195,0,0,180,0,0,0,15,0
4/27/23,thur,I,525,0,0,165,30,30,60,180,60
4/28/23,fri,I,270,0,0,180,0,0,0,0,90
4/29/23,sat,I,460,0,0,270,0,0,120,70,0
4/30/23,sun,I,480,0,0,300,0,0,180,0,0
5/1/23,mon,I,365,0,0,65,0,0,300,0,0
5/2/23,tue,I,430,0,60,0,0,160,210,0,0
5/3/23,wed,I,570,0,30,30,0,0,360,150,0
5/4/23,thur,I,510,0,0,90,0,50,150,60,160
5/5/23,fri,I,185,0,0,120,0,0,30,0,35
5/6/23,sat,I,430,0,170,60,0,0,120,80,0
5/7/23,sun,I,447,0,110,90,0,0,250,0,3
5/8/23,mon,I,310,0,0,220,0,0,80,10,0
5/9/23,tue,I,520,0,0,390,0,100,0,0,30
5/10/23,wed,I,650,0,0,220,45,0,375,10,0
5/11/23,thur,I,450,0,0,85,0,100,160,0,105
5/12/23,fri,I,280,15,0,45,0,0,90,130,0
5/13/23,sat,I,370,0,50,120,0,80,60,60,0
5/14/23,sun,I,450,0,330,120,0,0,0,0,0
5/15/23,mon,I,420,0,0,160,0,0,20,0,240
5/16/23,tue,I,420,0,120,0,0,100,180,20,0
5/17/23,wed,I,670,0,0,120,0,0,500,50,0
5/18/23,thur,I,455,0,0,0,0,155,300,0,0
5/19/23,fri,I,540,0,0,210,0,0,60,120,150
5/20/23,sat,I,300,0,60,30,0,0,0,120,90
5/21/23,sun,I,305,0,0,150,0,0,135,0,20
5/22/23,mon,G,320,0,60,150,0,0,90,20,0
5/23/23,tue,G,496,230,0,150,0,10,30,60,0
5/24/23,wed,I,423,0,0,110,60,30,203,20,0
5/25/23,thur,I,540,0,150,60,0,20,130,180,0
5/26/23,fri,I,400,0,0,400,0,0,0,0,0
5/27/23,sat,G,500,0,0,500,0,0,0,0,0
5/28/23,sun,G,500,0,0,500,0,0,0,0,0
5/29/23,mon,I,300,0,0,300,0,0,0,0,0
5/30/23,tue,G,375,0,0,30,60,0,255,0,30
5/31/23,wed,I,485,0,60,0,0,60,365,0,0
6/1/23,thur,I,305,0,75,0,0,0,200,30,0
6/2/23,fri,I,315,0,105,120,0,0,60,30,0
6/3/23,sat,I,330,0,60,0,0,0,150,90,30
6/4/23,sun,I,420,0,60,180,0,0,180,0,0
6/5/23,mon,I,405,15,150,0,0,0,180,60,0
6/6/23,tue,I,410,0,290,60,0,60,0,0,0
6/7/23,wed,G,470,0,40,30,30,80,270,10,10
6/8/23,thur,G,530,0,0,120,0,45,365,0,0
6/9/23,fri,G,480,0,0,30,0,0,420,30,0
6/10/23,sat,I,290,0,0,60,0,0,200,30,0
6/11/23,sun,I,295,10,0,45,0,60,0,150,30
6/12/23,mon,I,420,0,0,0,0,420,0,0,0
6/13/23,tue,I,275,0,0,60,90,0,0,110,15
6/14/23,wed,I,350,0,0,260,90,0,0,0,0
6/15/23,thur,I,300,0,60,120,0,0,0,120,0
6/16/23,fri,I,150,0,0,150,0,0,0,0,0
