Time,Location,Notes,Study Materials
4/3/23,UCSD,di yuer,"notes (cogs 14a, dsc 30), DSC 30 PA1 (190m)"
4/4/23,UCSD,di yuer,"Taken care of usual things (90m), exercise analysis (30m), functional training (60m), PA1 (15m), cogs 17 notes (20m)"
4/5/23,UCSD,di yuer,"reflection (60m), notes (dsc30, cogs14a), pa1(60m), dsc30 reading(30m), kdd(45m), math 20e lecture (15m), dsc30 pa1 finish v1 (60m), di with yuer and sparks created (180m)"
4/6/23,UCSD,di yuer,"reflection (70m), understanding java, organizing java object and type, java relation (60m), organizing notes from discussion with professor (60m), organizing functional training notes (60m), notes from Cogs 17 (60m) "
4/7/23,UCSD,N/A,"reflection (30m), DSC 30 debug (120m), math 20e notes and question (60m), cogs 17 check (15m)"
4/8/23,UTC,N/A,"study into pizza (45m), physiology and training study (60m), Math 20e (150m), DSC 30 zybook and notes (60m)"
4/9/23,Ilg,di yuer,"dsc 30 quiz, debug, & notes (30m), study into food, reflection (70m), selection algorithm and file based exception (45m), discussion with yuer after movie (120m)"
4/10/23,UCSD,N/A,"reflection (50m), reflection + purpose of college (90m), reflection on college purpose (20m), math 20e note (20m), dsc 30 sorting algorithm (30m), computer fix (30m). "
4/11/23,UCSD,N/A,"book read (60m), reflection (30m), functional training understanding (45m), reflection (20m), version control (90m), cogs 17 note + quiz (180m), setup dsc30 pa2 (20m)"
4/12/23,UCSD,N/A,"Cogs research (90m), doc and reflection (80m), math 20e lecture (45m), cogs 14a quiz (30m), doc 3 research log 1 (60m)"
4/13/23,Blue Bottle,N/A,"reflection (60m), math 20e (10m), look around online and reflecting (20m),dsc 30 pa2 (45m)"
4/14/23,UCSD,N/A,"Looking around (60m), explore on the road (90m), dsc debugger (45), reflection (30m), math 20e note (30m), dsc 30 algorthem and queue study (30m)"
4/15/23,UTC,N/A,"PA 2 application, PA 2 queue check, queue understanding , java class understaidng (210m), seraching and housing (60m), dsc 30 pa 2 check (10m), math 20e hw (30m), dsc 30 reading (30m), doc research check (20m)"
4/16/23,Blue Bottle,N/A,"DSC 30 zybook (75m), Cogs 17 note + exam (75m), research experience cogs (15m), math 20e note + hw (90m), reading mean genes (60m)"
4/17/23,UCSD,N/A,"Reading and note mean gene (60m), dsc pa1 pa2 checking and style coding (120m), math 20e note (10m), dsc 30 algorithm (45m), reading book (30m)"
4/18/23,UCSD,N/A,"email to prof. Bergen (50m), dsc30 setup pa2 (10m), dsc 30 pa2 and count algorithm understanding (60m), exercise note (60m), learning quick sort (90m), cogs note (20m), pa2 algorithem (30m), pa2 algorithem (130m), dsc30 pa2 insertion and quick sort understanding (30m)"
4/19/23,UCSD,N/A,"Reading mean genes (90m), Cogs 17 hw + notes (30m), math 20e note (20m), cogs 14a reading (20m), dsc30 pa2 bucket sort, count sort (70m), dsc 30 java, data structure, algorithm understanding (60m),dsc30 pa2 runtime testing (45m)"
4/20/23,Blue Bottle,N/A,"Runtime algorithm analysis (40m), runtime algorithm solve (80m), runtime continue (20m), researching (40m), reading mean gene and math review (40m), endurance exercise model develop (15m), cogs 17 note + quiz (15m),  dsc 30 review (60m), reading louder than words (70m)"
4/21/23,UCSD,N/A,"Reading + booking (60m), DSC30 note (10m), cogs 14a quiz(20m), math 20e review (40m), Skateboarding understanding (60m)"
4/22/23,UTC,N/A,"DSC30 runtime (10m), Math 20e review + test (60m)_ mathamatica learning (45m), sports nutrition model (45m), skate notes and training note (25m), dsc30 quick sort relook (20m)"
4/23/23,Blue Bottle,N/A,"Morning of sorting algorithm (180m), reading your brain on art (200m),"
4/24/23,UCSD,N/A,"Cogs  17 review (45m), dsc 30 pa fix(120m), dsc 30 pa summary and note (45m), DOC 3 library workshop (60m), DOC 3 TSLR presentation (30m), dsc30 pa3 part 1 tracing fix (30m)"
4/25/23,UCSD,N/A,"DSC30 pa4 part 2 & part 3(110m), exercise notes (70m), dsc30 pa4 part 4 and part 5.1 and 5.2 (70m), dsc30 zybook (20m), math 20e cheatsheet (20m), math 20e cheatsheet (30m), cogs14a test (40m), dsc30 queue (30m)_ reading (10m)"
4/26/23,UCSD,midterm day,"check progress (45m), math 20e (15m), research research (120m), reflection (15m)"
4/27/23,Blue Bottle,math 20e midterm,"upload learnings card (15m), math20e review (90m), dsc 30 pa2 fix (60m), doc 3 di, hot wings event and conclusion (150m), cogs 14a answer check (30m), cogs 17 notes (30m), math 20e test (90m) "
