date,day,type,total,training,reading,pp,ds,dsc40a,,,
6/22/23,mon,G,180,0,0,180,0,0,,,
6/24/23,sat,G,180,0,0,180,0,0,,,
6/28/23,wed,I,390,0,0,90,300,0,,,
7/3/23,mon,I,350,180,0,0,170,0,,,
7/4/23,tue,I,330,60,0,150,0,120,,,
7/5/23,wed,I,380,60,0,0,320,0,,,
7/6/23,thur,I,385,60,0,80,45,200,,,
7/7/23,fri,I,310,60,0,20,200,30,,,
7/8/23,sat,I,290,110,0,180,0,0,,,
7/9/23,sun,I,420,90,0,330,0,0,,,
7/10/23,mon,G,465,120,0,225,60,60,,,
7/11/23,tue,I,460,0,0,60,180,220,,,
7/12/23,wed,I,180,0,0,150,30,0,,,
7/13/23,thur,I,300,120,0,60,0,120,,,
7/14/23,fri,I,505,165,0,90,0,250,,,
7/15/23,sat,I,400,80,0,60,0,260,,,
7/16/23,sun,I,105,60,0,45,0,0,,,
7/17/23,mon,I,435,120,90,65,0,160,,,
7/18/23,tue,I,630,60,0,280,35,255,,,
7/19/23,wed,I,480,60,60,255,0,105,,,
7/20/23,thur,I,180,0,0,0,0,180,,,
7/21/23,fri,I,315,60,0,165,90,0,,,
7/22/23,sat,I,240,60,0,180,0,0,,,
7/23/23,sun,I,0,0,0,0,0,0,,,
7/24/23,mon,I,120,0,0,120,0,0,,,
7/25/23,tue,I,195,60,0,45,0,90,,,
7/26/23,wed,I,685,180,0,160,210,135,,,
7/27/23,thur,I,265,70,0,90,45,60,,,
7/28/23,fri,I,415,60,0,40,150,165,,,
7/29/23,sat,I,60,0,0,0,0,60,,,
7/30/23,sun,I,410,0,0,140,0,270,,,
7/31/23,mon,I,525,120,0,180,195,30,,,
8/1/23,tue,G,410,80,0,60,0,270,,,
8/2/23,wed,I,510,180,0,0,150,180,,,
8/3/23,thur,G,500,140,0,60,0,300,,,
8/4/23,fri,I,585,180,0,165,0,240,,,
8/5/23,sat,I,260,0,60,20,0,180,,,
8/6/23,sun,I,140,120,0,20,0,0,,,
8/7/23,mon,G,510,240,0,270,0,0,,,
8/8/23,tue,I,300,150,150,0,0,0,,,
8/9/23,wed,G,420,0,60,360,0,0,,,
8/10/23,thur,I,515,180,0,60,0,275,,,
8/11/23,fri,I,395,60,95,240,0,0,,,
8/12/23,sat,G,120,0,0,120,0,0,,,
8/13/23,sun,G,290,0,80,210,0,0,,,
8/14/23,mon,I,530,150,60,200,120,0,,,
8/15/23,tue,I,635,80,30,390,135,0,,,
8/16/23,wed,I,285,40,15,0,230,0,,,
8/17/23,thur,I,330,30,240,0,60,0,,,
8/18/23,fri,G,240,0,0,240,0,0,,,
8/19/23,sat,G,195,0,150,45,0,0,,,
8/20/23,sun,G,505,95,0,410,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
