date,day,type,total,reading_winter23,pp_winter23,math20c,dsc20,bild1,bild22,cogs87,doc2
12/18/22,sun,G,70,0,70,0,0,0,0,0,0
12/21/22,wed,G,120,0,120,0,0,0,0,0,0
12/23/22,fri,I,150,0,150,0,0,0,0,0,0
12/29/22,thur,I,120,120,0,0,0,0,0,0,0
12/31/22,sat,I,180,0,180,0,0,0,0,0,0
1/1/23,sun,I,245,45,200,0,0,0,0,0,0
1/2/23,mon,I,165,55,120,0,0,0,0,0,0
1/3/23,tue,I,310,0,310,0,0,0,0,0,0
1/4/23,wed,I,60,0,60,0,0,0,0,0,0
1/5/23,thur,I,95,0,85,0,0,10,0,0,0
1/6/23,fri,I,120,120,0,0,0,0,0,0,0
1/7/23,sat,I,85,60,0,0,0,25,0,0,0
1/8/23,sun,I,76,76,0,0,0,0,0,0,0
1/10/23,tue,G,340,0,60,0,260,0,20,0,0
1/11/23,wed,I,85,0,0,45,40,0,0,0,0
1/12/23,thur,I,206,0,0,65,141,0,0,0,0
1/13/23,fri,I,301,0,0,20,281,0,0,0,0
1/14/23,sat,I,420,0,120,0,150,30,60,0,60
1/15/23,sun,I,230,0,80,60,0,0,0,0,90
1/16/23,mon,I,256,0,226,0,10,20,0,0,0
1/17/23,tue,I,406,0,100,0,276,0,0,30,0
1/18/23,wed,I,170,0,30,20,30,0,30,0,60
1/19/23,thur,I,543,0,240,90,48,0,105,0,60
1/20/23,fri,I,305,0,90,30,165,20,0,0,0
1/21/23,sat,I,150,0,23,0,97,0,0,0,0
1/22/23,sun,I,360,90,0,0,180,90,0,0,0
1/23/23,mon,I,262,10,0,90,55,20,20,67,0
1/24/23,tue,I,320,0,150,0,85,20,0,65,0
1/25/23,wed,I,175,0,30,120,30,20,0,0,0
1/26/23,thur,I,400,0,170,100,120,0,10,0,0
1/27/23,fri,I,410,0,60,0,210,35,0,60,45
1/28/23,sat,I,320,0,0,90,200,0,0,0,30
1/29/23,sun,I,437,205,0,108,124,0,0,0,0
1/30/23,mon,I,225,60,60,105,0,0,0,0,0
1/31/23,tue,I,452,115,157,90,90,0,0,0,0
2/1/23,wed,I,370,70,120,100,0,10,20,0,50
2/2/23,thur,I,335,0,20,125,150,40,0,0,0
2/3/23,Fri,I,265,80,35,120,0,30,0,0,0
2/4/23,sat,I,185,0,25,30,90,40,0,0,0
2/5/23,sun,G,410,55,30,35,195,30,65,0,0
2/6/23,mon,I,410,0,90,110,160,20,20,10,0
2/7/23,tue,I,460,0,230,0,65,45,0,120,0
2/8/23,wed,I,153,0,0,65,30,0,58,0,0
2/9/23,thur,I,345,0,60,80,185,20,0,0,0
2/10/23,fri,I,275,65,60,50,0,20,0,0,80
2/11/23,sat,I,235,0,0,70,105,60,0,0,0
2/12/23,sun,I,235,0,60,10,125,0,0,0,40
2/13/23,mon,I,300,0,260,40,0,0,0,0,0
2/14/23,tue,I,370,50,120,100,40,0,0,30,30
2/15/23,wed,I,185,0,85,30,20,20,30,0,0
2/16/23,thur,I,350,0,170,35,100,0,0,0,45
2/17/23,fri,I,240,30,0,110,100,0,0,0,0
2/18/23,sat,I,230,0,20,0,180,30,0,0,0
2/19/23,sun,I,145,0,0,45,60,0,0,0,40
2/20/23,mon,I,310,0,60,90,50,110,0,0,0
2/21/23,tue,I,300,60,30,0,60,0,0,30,120
2/22/23,wed,I,300,0,0,60,120,0,120,0,0
2/23/23,thur,I,355,0,100,120,135,0,0,0,0
2/24/23,fri,I,205,0,70,79,0,0,0,0,56
2/25/23,sat,I,306,0,120,66,90,30,0,0,0
2/26/23,sun,I,255,0,30,15,135,0,0,30,45
2/27/23,mon,I,250,0,180,30,0,10,30,0,0
2/28/23,tue,I,320,0,30,200,90,0,0,0,0
3/1/23,wed,I,130,0,0,0,20,0,110,0,0
3/2/23,thur,I,460,0,300,0,120,20,20,0,0
3/3/23,fri,I,220,0,50,30,80,45,15,0,0
3/4/23,sat,G,365,0,150,55,160,0,0,0,0
3/5/23,sun,I,270,0,110,20,80,50,0,0,10
3/6/23,mon,I,295,0,0,35,20,60,180,0,0
3/7/23,tue,I,295,0,45,10,200,0,0,0,40
3/8/23,wed,I,280,0,210,0,70,0,0,0,0
3/9/23,thur,I,260,65,60,50,40,0,0,0,45
3/10/23,fri,I,320,0,59,90,120,51,0,0,0
3/11/23,sat,I,240,0,30,120,60,30,0,0,0
3/12/23,sun,I,310,0,110,30,80,0,90,0,0
3/13/23,mon,I,255,0,135,0,0,0,120,0,0
3/14/23,tue,I,315,0,80,40,180,15,0,0,0
3/15/23,wed,I,320,0,20,80,160,30,30,0,0
3/16/23,thur,I,450,0,105,15,220,90,0,0,20
3/17/23,fri,I,265,0,40,120,105,0,0,0,0
3/18/23,sat,I,110,90,20,0,0,0,0,0,0
3/19/23,sun,I,255,0,255,0,0,0,0,0,0
3/20/23,mon,I,210,0,150,0,0,60,0,0,0
3/21/23,tue,I,350,0,320,0,0,30,0,0,0
3/22/23,wed,I,260,120,130,0,10,0,0,0,0
3/23/23,thur,I,300,0,300,0,0,0,0,0,0
2/24/23,fri,I,165,0,165,0,0,0,0,0,0
