Time,Location,Notes,Study Materials (Lecture Counted)
9/26/24,UCSD,Week 0,"Math 173A Le, CSE 158 Le, VNL meeting with Talmo, Math 140A Le, Talmo meeting notes, DSC 100 Le, Rethinking Math 140A and DSC 100"
9/27/24,UCSD,Week 0,"CSE 190 Le, DSC 190 PPT check, Meet Adam, Cogs 165 Le, Meet CK, Math 130 Le, Training"
9/28/24,UCSD,Week 0,Preparation
9/29/24,UCSD,Week 0,Reading neuroscience and control theory
9/30/24,UCSD,Week 1,"Math 20D Le, Chat, DSC 190 Le, Chat, Cogs 165, cerabellum paper read, DSC 190 OH, cerebellum paper read, training, Conrol theory Le"
10/1/24,UCSD,Week 1,"Math 173A  Le, CSE 158 Le, Math 140A Le, CSE 158 HW, DSC 100 Le, Math 142A Le, VNL planning, "
10/2/24,UCSD,Week 1,"Math 20D  Le, Adjust website + work study time repo, DSC 190 LE, Math 142A Le, Meet Talmo, Meeting notes, MVP Repo, DSC 100 DI, Training, MVP Repo, Math 142A Notes"
10/3/24,UCSD,Week 1,"Math 173A Le,  CSE 158 Le, Math 173A Notes, Chat, Math 173A Note, VNL MVP, Meet Aadi, DSC 100 Le, Training, VNL -MVP"
10/4/24,UCSD,Week 1,"Math 20D Le, VNL-MVP, DSC 190 Le, Math 142A Le, VNL-MVP, DSC 190 Notes"
10/5/24,UCSD,Week 1,"VNL-MVP, VNL-MVP, DSC 100 HW1, Chat, Math 173A HW1, VNL-MVP, Math 173A HW1, VNL-MVP"
10/6/24,UCSD,Week 1,"VNL-MVP, VNL-MVP, Training, Math 173A HW1, VNL-MVP"
10/7/24,UCSD,Week 2,"Math 20D Le, VNL-MVP, DSC 190 Le, Math 142A Le, Meeting with Khosla, VNL-MVP, Math 173A HW1, DSC 100 HW1, Training"
10/8/24,UCSD,Week 2,"Math 173A Le, CSE 158 Le & HW, Buy books, Math 173A HW1, VNL-MVP, DSC 100 HW1 Check, DSC 100 Le"
10/9/24,UCSD,Week 2,"Math 20D Le, Math 173A HW 1 & arrangement, DSC 190 Le, Math 142A Le, Math 142A Notes, Math 20D Notes, Math 173A Notes, Meet Talmo + VNL-MVP Notes, Math 173A HW1"
10/10/24,UCSD,Week 2,"Math 173A Le, VNL Meeting  + notes, CSE 158 Le + notes, Math 173A notes, DSC 100 Quiz, VNL-MVP, DSC 100 Le, VNL, Training"
10/11/24,UCSD,Week 2,"Math 20D Le, DSC 100 Notes + SQL Review, DSC 190 Le, Math 142A Le, Meet Charles + notes, Math 173A Di + fix HW, VNL-MVP model rethink, Math 20D Le, Math 142A Notes, VNL-MVP, training, VNL-MVP"
10/12/24,UCSD,Week 2,"Clean house, VNL-MVP, Training, VNL-MVP"
10/13/24,UCSD,Week 2,"VNL-MVP Neuroscience understanding + ideas, Chat, VNL-MVP, DSC 100 HW2, DSC 100 HW2, VNL-MVP"
10/14/24,UCSD,Week 3,"Math 20D Le, Math 173A OH, VNL-MVP, DSC 100 HW1, DSC 190 Le, Math 142A Le, DSC 100 HW1 + Check, Math 173A HW1 Check, VNL-MVP, VNL-MVP, Training, VNL-MVP"
10/15/24,UCSD,Week 3,"Math 173A Le + notes, CSE 158 Le, sfmppo supervised learning + loss tune, sfmppo constructing and testing, DSC 100 review notes, Math 173A Notes + Taylor Theory understanding, sfmppo tuning, DSC 190 project planning, DSC 100 Le, Ppaer planning for DSC 190, sfmppo training"
10/16/24,UCSD,Week 3,"Math 20D Le + notes, sfmppo training, DSC 190 Le + notes, Math 142A Le, DSC 190 DI, DSC 190 Notes, sfmppo figuring out process + training, DSC 190 brain storm, sfmppo benchmark, DSC 100 notes, DSC 100 Quiz, Math 173A HW2, sfmppo idea, DSC 190 Project idea"
10/16/24,UCSD,Week 3,"Math 173A Le, VNL  meeting, CSE 158 Le, Math 173A reproof convergence + notes, CSE 158 Notes, sfmppo latent vis, DSC 100 Lec, Math 173A Notes + Math 173A HW, Training, sfmppo vis + retraining"
10/17/24,UCSD,Week 3,"Math 20D Lec, sfmppo activation pattern vis, DSC 190 Lec, Math 142 Le, Meet Scott for VNL, Math 173A Discussion, Multiple activation + latent Vis, notes from DSC 190, Math 142A notes"
10/18/24,UCSD,Week 3,"Math 173A Le + notes, CSE 158 Le, sof implementation, Math 173A notes"
10/19/24,UCSD,Week 3,"Clean house, DSC 100 hw3, make working ppo policy, DSC 190 notes, DSC 190 discussion, training"
10/20/24,UCSD,Week 4,"VNL sympossium + sympossium notes, checking sfmppo property, DSC 190 Le, DSC 190 Project Porposal, DSC 190 Le + notes, Math 20D Lec, Math 142A Lec, SFMPPO training, vnl env wrapper implement, sfmppo supervised debug, sfmppo representation built"
10/21/24,UCSD,Week 4,"Documentation + sensory delay wrappers, CSE 158 Le, SFFMPPO evaluation, CSE 158 notes, DSC 100 notes, Math 173A Le, DSC 100 Le, DSC 100 Notes, DSC 100 Notes, Math 173A Notes, Math 173A HW2 Check, Training, VNL Check, Control Theory"
10/22/24,UCSD,Week 4,"brunton control theory lecture, EWC-SFMPPO, DSC 190 Lec, DSC 190 Di, Chat + DSC 100, SFMPPO-EWC, DSC 190 Discussion, DSC 100 HW3, fix EWC-SFMPPO, CSE 158 HW2, SFMPPO check"
10/23/24,UCSD,Week 4,"VNL Meeting, chatting, CSE 158 Le + notes, DMAS and CMAS lit review, DSC 100 HW3 Check + Quiz, Math 173A Lecture, DSC 100 Lecture, DSC 100 HW3 Check, Math 173A Le + Notes, DSC 100 Lec recordings, Math 173A Notes, sfmppo paper"
10/24/24,UCSD,Week 4,"Math 20D Lec + notes, sfmppp setup, dsc 190 le, math 142a le, salk meeting, dsc 190 projet meeting, training, chat"
10/25/24,UCLA,Week 4,"go to LA, lof proof formulation"
10/26/24,UCLA,Week 4,"lof idea andformulation, lof code + multiagent check, chat, sofppo modify"
10/27/24,UCSD,Week 5,"Math 20D Le, framing sof, DSC 190 Le, Math 142A Le, sof formulation, math 20D notes, math 142A notes, dsc 190 notes + discussions, setup research notes, Math 173A Le, DSC 190 thoughts + SOF formulation, cse 158 HW check, sof formulation, training, sof formulation"
10/28/24,UCSD,Week 5,"Math 173A Le + notes, CSE 158 Le, sof implementation, math 173a notes, DSC 190 engineering, DSC 100 lecture, SOF implementation + modularization of code, Chat"
10/29/24,UCSD,Week 5,"SOF Eta backprop, DSC 190 Le, Math 142A Le, DSC 190 Di, DSC 190 formulation, Math 142A Notes, DSC 190 Notes, SOF re-derivation, VNL meeting notes, DSC 100 demos + reviews, sort all notes and stuff, training, sign up open review, academic selection check, cse 158 hw3 check"
10/30/24,UCSD,Week 5,"VNL Meetings, CSE 158 Le + Notes, VNL-MVP + VNL Meeting + Notes, wrap up sof, dsc 100 Le, dsc 100 Le, Changed website"
11/1/24,UCSD,Week 5,"Changed website, DSC 190 Le, Math 142A Le, DSC 190 Meeting, DSC 190 implementation, training, DSC 190 code base check again"
11/2/24,UCSD,Week 5,"VNL Mermaid graph, CSE 158 HW3, dsc 190 prject env problem, dsc 190 ppt paper presentation"
11/3/24,UCSD,Week 5,"Clean house, DSC 190 project engineering the basic system, dsc 190 engineering the adapted system, dsc 190 engineering and doing documentation and debugging and adding task successful measure and updating, training, debug dsc 190, dsc 190 presentation mock, and make rplh work"
11/4/24,UCSD,Week 6,"Standard model, DSC 190 Le, Math 142A Le, CSE 158 Midterm, update notes on research + implicit definition, standard model"
11/5/24,UCSD,Week 6,"Math 173A Le, review dsc 100, review dsc 100, dsc 190 discussion and planning, dsc 100 review, dsc 100 mcq, dsc 100 coding, training, VNL package development"
11/6/24,UCSD,Week 6,"track-mjx summary + dev, dsc 190 lec, math 142a lec, dsc 190 ideas, math 173a notes, dsc 190 notes and review of ideas, track-mjx refractoring, track-mjx debug, create base walker agonist class, dsc190 finding connections"
11/7/24,UCSD,Week 6,"math 173a le, track-mjx meeting, cse 158 le, Math 173A Notes and fully reviews, review on thinking, dsc 190 standard model, dsc 100 le + notes, chat, dsc 190 rewadr based se derivation, training, dsc 190 meeting + discussion, dsc 190 standard model derivation, research leader notes"
11/8/24,UCSD,Week 6,"standard  model derivation, dsc 190 le, math 142a le, dsc 100 hw4"
11/9/24,UCSD,Week 6,"chat, track-mjx dev, training, thinking MIT lecture series"
11/10/24,UCSD,Week 6,have fun and trip
11/11/24,UCSD,Week 7,"Clean house, dsc 190 review, sub optimal reconsiderations, training, reflections, cse 158 hw3 fixes"
11/12/24,UCSD,Week 7 ,"Math 173A Le + Notes, CSE 158 Le + Notes, cse 158 assignment1 tf, dsc 100 quiz, dsc 100 lec, vnl meeting + dev, cse 158 assignment1, math173A review + HW3 + HW4"
11/13/24,UCSD,Week 7,"AI Book read, DSC 190 Le , Math 142A Le, DSC 190 Di, CSE 158 Model fine tune, VAE model implementation, reading AI book, training, dsc 19-0 project push"
11/14/24,UCSD,Week 7,"Math 173A partial Lec, track-mjx meeting, CSE 158 lec, Math 173a lec, dsc 190 midway report, dsc 100 le, dsc 190 midway report, dsc 100 notes, math 173a notes, training, dsc 190 midway report figuring out references and algorithm styles"
11/15/24,UCSD,Week 7,"Math 173A understanding, DSC 190 graph and lec, math 142A lec, CSE 158 a1, track-mjx meeting and cs stuff, cse 158 a1, Zumba class, cse 158 a1"
11/16/24,UCSD,Week 7,"CSE 158 a1 fine tune, dsc 190, training"
11/17/24,UCSD,Week 7,"track-mjx dev, rplh formating and debug and defign successs trials, cse 158 a1"
11/18/24,UCSD,Week 8,"RPLH fix and write paper conclusion, DSC 190 lecture, cse 158 debug, conversation, track-mjx dev, rplh submit, notes, cse 158 a2, dsc 190 rplh merge, training"
11/19/24,UCSD,Week 8,"Math 173A, cse 158, Math 173A code, website design, DSC 100 HW4, Meeting with elliot, DSC 100 HW4, DSC 100 Lec, cse 158 notes, math 173a notes, dsc 190 debug and identify issues"
11/20/24,UCSD,Week 8,"track-mjx check, dsc 190 hw1, dsc 190 lec, rplh execution module and resolve syntactice check issue, dsc 190 hw, track-mjx dev, dsc 190 notes, cse 158 lit review, training"
11/21/24,UCSD,Week 8,"track-mjx meeting, cse 158 lecture, cse 158 lecture notes, math 173A lecture, dsc 190 discussion, conversation,  math 173a lecture + notes, dsc 100 lecture + note, conversation, training"
11/22/24,UCSD,Week 8,"track-mjx dev, math 173A notes, dsc 190 le, math 142A le, RPLH dev, RPLH dev, RPLH dev"
11/23/24,UCSD,Week 8,"clean house, track-mjx dev, documentation and debug, mathamatical formulation of temporal models, cse158 a2 meeting, A2 EDA and mathamaticla formulation, cse158 A2 EDA"
11/24/24,UCSD,Week 8,"dsc 100 hw5, training, math 173A HW6, dsc 100 hw4, cse 158 meeting + modification"
11/25/24,UCSD,Week 9,"dsc 190 functional dev, dsc 190 lecture, math 142A lecture, dsc 190 dev, track-mjx meeting and dev, cse 158 dev, training , clean and pack"
11/26/24,UCLA,Week 9,"Chat, cse 158 lecture + a2 + notes, cse 158 a2 model building, cse 158 a2 model building, chat, Math 173A lecture"
11/27/24,UCLA,Week 9,"CSE 158 A2 dev, moving stuff, dsc 190 dev, cse 158 meeting, dsc 190 dev"
11/28/24,UCLA,Week 9,"RPLH solve issues and dev, Thanks Giving!"
11/29/24,UCLA,Week 9,Moving in
11/30/24,UCLA,Week 9,"dsc100 lecture understanding, track-mjx dev, rplh push, rsdb push, rplh push, move in and chat"
12/1/24,UCLA,Week 9,"RPH Decentralzied + modularization, RSDB development, cse 158 eda close up and model config dev"
12/2/24,UCSD,Week 10,"documentation RPLH, DSC 190 le, Math 142A le, dsc 190 push, hu oh, cse 158 push, training, cse 158 push, dsc 190 push"
12/3/24,UCSD,Week 10,"math 173A lecture, cse 158 lecture, dsc 190 push, math 173A lecture, cse 158 push + paper writing, dsc 190 rendering debug, eat and chat, cse 158 push, dsc 190 push"
12/4/24,UCSD,Week 10,"DSC 190 presenttaion, math 142a lecture, clean up stuff, dsc 100 lec, math 173A notes, RPLH partial observation dev"
12/5/24,UCSD,Week 10,"math 173A lecture and chat, cse 158 lecture (grading) + documentation, rplh agent model, dsc 100 quiz, math 173A overall review, dsc 100 lecture, math 173a review, dsc 190 debug and prompt changing"
12/6/24,UCSD,Week 10,"dsc 190 lecture, dsc 190 push, training, dsc 190 push"
12/7/24,UCSD,Week 10,"House clean, dsc 190 rplh check, dsc 190 super homework, chat, dsc 190 rplh change api, system, modularized code, and ensure agent modeling is correct, and add check points, training, dsc 190 push + meeting"
12/8/24,UCSD,Week 10,"DSC 190 RPLH Code modularize, DSC 100 review, RPLH similarity analysis, DSC 100 review"
12/9/24,UCSD,Week 11,"dsc 100 final exam, dsc 190 idea put in, dsc 100 final exam, dsc 190 project eval + demo + eval"
12/10/24,UCSD,Week 11,"Talmo lab meeting, intergrate to new wiki and planning, rplh eval live pair code and push, DSC 190 push, chat, training, dsc 190 push"
12/11/24,UCSD,Week 11,"RPLH eval + paper algorithm + RPLH eval, track-mjx rendering + xml fix, math 173A article write, training, math 173A article write, rplh eval, track-mjx dev"
12/12/24,UCSD,Week 11,"track-mjx meeting, RPLH paper writing, chat, clean and pack,  rplh data format"
12/13/24,UCSD,Week 11,"constraint article, EM article, meet elliot,  track mjx dev, constraint article and EM article and RPLH paper, build stuff"
12/14/24,UCSD,Week 11,chill
12/15/24,UCSD,Week 11,"training, rplh summary"
