week,date,day,type,total,training_spring23,salk_spring24,dsc140a,dsc140b,math180c,math181a,cogs107c,psyc137,dsc106,cse150b,fmp_spring24,pp_spring24
n/a,3/29/24,fri,G,210,0,60,0,0,0,0,0,0,0,0,0,150
n/a,3/30/24,sat,G,530,0,0,0,0,0,0,0,0,0,0,0,530
n/a,3/31/24,sun,G,570,120,0,0,0,0,0,0,0,0,0,0,450
1,4/1/24,mon,I,650,120,410,60,0,0,60,0,0,0,0,0,0
1,4/2/24,tue,I,750,0,0,110,60,130,0,90,90,150,0,10,110
1,4/3/24,wed,I,595,120,160,0,0,0,270,0,0,45,0,0,0
1,4/4/24,thur,I,825,0,75,210,120,150,0,90,90,90,0,0,0
1,4/5/24,fri,I,460,60,60,210,0,0,60,0,0,0,0,10,60
1,4/6/24,sat,I,630,150,60,0,0,0,0,0,0,0,120,0,300
1,4/7/24,sun,I,680,80,360,0,0,0,0,0,0,60,120,0,60
2,4/8/24,mon,G,670,0,270,0,0,0,260,0,0,0,110,0,30
2,4/9/24,tue,I,770,0,0,120,120,110,0,100,110,210,0,0,0
2,4/10/24,wed,G,640,90,0,60,110,0,130,0,0,0,250,0,0
2,4/11/24,thur,I,870,0,90,135,90,150,0,135,90,180,0,0,0
2,4/12/24,fri,G,740,60,170,300,0,0,150,0,0,60,0,0,0
2,4/13/24,sat,G,645,90,20,330,125,0,20,0,0,0,0,0,60
2,4/14/24,sun,I,530,0,450,60,20,0,0,0,0,0,0,0,0
3,4/15/24,mon,G,830,0,280,0,190,0,180,0,0,0,150,20,10
3,4/16/24,tue,I,900,0,90,110,160,140,0,100,90,210,0,0,0
3,4/17/24,wed,G,815,60,0,20,100,0,110,0,0,0,525,0,0
3,4/18/24,thur,I,885,0,75,145,235,125,0,135,80,90,0,0,0
3,4/19/24,fri,G,715,90,210,250,0,0,70,50,0,0,0,0,45
3,4/20/24,sat,G,570,,220,60,180,0,30,50,0,0,0,0,30
3,4/21/24,sun,G,685,90,270,90,100,0,45,0,0,60,0,0,30
4,4/22/24,mon,G,690,90,150,0,160,0,120,0,0,0,170,0,0
4,4/23/24,tue,I,805,0,65,140,70,150,150,140,0,90,0,0,0
4,4/24/24,wed,G,765,100,60,0,250,0,110,0,0,45,180,0,20
4,4/25/24,thur,I,820,0,105,120,230,0,0,100,0,45,45,175,0
4,4/26/24,fri,G,680,90,110,0,0,0,330,30,0,0,120,0,0
4,4/27/24,sat,I,540,0,130,320,0,0,30,30,0,0,0,0,30
4,4/28/24,sun,I,565,90,30,240,145,0,0,0,0,0,60,0,0
5,4/29/24,mon,G,770,100,75,190,110,0,60,0,0,0,235,0,0
5,4/30/24,tue,I,810,0,70,260,15,110,30,160,0,135,0,10,20
5,5/1/24,wed,G,730,80,20,60,310,0,130,0,0,0,110,0,20
5,5/2/24,thur,G,650,0,45,120,130,115,0,120,0,30,0,90,0
5,5/3/24,fri,G,570,120,0,120,150,0,150,30,0,0,0,0,0
5,5/4/24,sat,G,630,120,0,70,0,0,70,0,0,100,180,30,60
5,5/5/24,sun,G,595,120,120,10,0,0,145,0,0,0,170,0,30
6,5/6/24,mon,G,690,0,165,210,55,0,170,0,0,30,60,0,0
6,5/7/24,tue,G,770,30,180,25,195,100,0,150,0,90,0,0,0
6,5/8/24,wed,G,705,90,0,80,60,0,135,0,0,60,280,0,0
6,5/9/24,thur,G,780,90,45,115,0,145,0,90,0,0,115,0,180
6,5/10/24,fri,G,500,0,0,245,0,0,60,165,0,30,0,0,0
6,5/11/24,sat,G,635,90,120,0,225,0,60,60,0,0,80,0,0
6,5/12/24,sun,G,590,0,250,30,155,0,35,0,0,60,0,0,60
7,5/13/24,mon,I,740,90,240,0,150,0,150,0,0,0,110,0,0
7,5/14/24,tue,I,835,0,200,110,205,105,60,90,0,20,0,0,45
7,5/15/24,wed,G,635,120,60,0,75,0,200,0,0,60,120,0,0
7,5/16/24,thur,I,770,0,155,315,60,70,0,140,0,0,0,0,30
7,5/17/24,fri,G,615,120,100,120,0,0,100,25,0,0,150,0,0
7,5/18/24,sat,G,680,60,0,0,0,0,30,0,0,410,0,0,180
7,5/19/24,sun,G,550,0,0,0,0,0,190,100,0,0,0,30,230
8,5/20/24,mon,G,630,0,70,0,90,0,90,0,0,0,120,260,0
8,5/21/24,tue,G,710,90,200,110,50,50,0,120,0,0,30,0,60
8,5/22/24,wed,G,700,80,95,130,100,0,60,0,0,0,235,0,0
8,5/23/24,thur,G,750,90,45,365,130,0,0,45,0,0,20,0,55
8,5/24/24,fri,G,585,0,60,110,0,0,90,0,0,120,25,0,180
8,5/25/24,sat,G,580,90,0,230,0,0,80,0,0,0,0,0,180
8,5/26/24,sun,G,480,120,90,230,0,0,0,20,0,0,0,0,20
9,5/27/24,mon,G,670,100,0,180,330,0,0,0,0,0,0,0,60
9,5/28/24,tue,G,765,90,20,290,80,180,0,105,0,0,0,0,0
9,5/29/24,wed,G,645,0,10,150,80,0,200,0,0,30,175,0,0
9,5/30/24,thur,G,760,90,30,90,130,120,0,110,0,0,190,0,0
9,5/31/24,fri,G,615,0,0,0,465,0,120,30,0,0,0,0,0
9,6/1/24,sat,G,485,100,60,30,90,0,10,0,0,0,165,0,30
9,6/2/24,sun,G,620,100,0,320,0,0,200,0,0,0,0,0,0
10,6/3/24,mon,G,730,0,0,20,200,0,60,0,0,250,110,0,90
10,6/4/24,tue,I,895,100,60,390,45,70,0,110,0,60,0,30,30
10,6/5/24,wed,G,850,0,140,70,150,0,90,0,0,120,280,0,0
10,6/6/24,thur,G,720,100,325,120,20,0,45,90,0,0,0,20,0
10,6/7/24,fri,G,710,60,90,90,200,0,70,200,0,0,0,0,0
10,6/8/24,sat,G,930,0,0,390,150,0,30,0,0,30,0,0,330
10,6/9/24,sun,G,675,60,0,150,320,0,0,70,0,0,0,0,75
11,6/10/24,mon,G,710,0,0,250,0,0,0,230,0,0,0,0,230
11,6/11/24,tue,G,710,60,0,0,150,260,150,90,0,0,0,0,0
11,6/12/24,wed,G,755,0,0,45,90,200,420,0,0,0,0,0,0
11,6/13/24,thur,G,640,60,30,0,0,0,550,0,0,0,0,0,0
11,6/14/24,fri,G,580,50,0,0,0,0,410,120,0,0,0,0,0
