Time,Location,Notes,Study Materials (Lecture Counted)
3/29/24,LA,Spring Break,"Add Calendar (60m), VNL Rodent model check (60m), Photo Select (90m)"
3/30/24,LA,Spring Break,"Sports Science Planning (300m), Academic Discussion (180m), Sports Planning (60m)"
3/31/24,LA,Spring Break,"Discussion (300m), Sports notes (80m), Resume Check (70m), Training (120m)"
4/1/24,UCSD,n/a,"Planning (60m), Meet Charles (60m), Math 181A Lecture (60m), VNL update (90m), DSC 140A Discussion (60m), VNL Update (150m), TLA Reading (80m), VNL check (30m), Training (120m)"
4/2/24,UCSD,n/a,"Math 180C Lecture (90m), Math 180C Notes (20m), DSC 140B Catch up (60m), DSC 140A Lecture (90m), Cogs 107C Lecture (90m), DSC 140A Notes (20m), Math 180C Notes (20m), FMP Update (10m), Planning & notes (20m), Psyc 137 Lecture (90m), DSC 106 Lecture (90m), DSC 106 Lab 1 (60m), Planning (30m), Course Planning (60m)"
4/3/24,UCSD,n/a,"Neuroscience -> AI and back again (80m), Math 181A Lecture (60m), Math 181A HW 1 (120m), VNL (30m), Math 181A R (90m), DSC 106 Plot (30m), DSC 106 Enrollment (15m), CBMM Talks (50m), Training (120m)"
4/4/24,UCSD,n/a,"DSC 140B Lecture (120m), Math 180C Lecture (90m), VNL Meeting (45m), VNL Notes (30m), DSC 140A Lecture (90m), Cogs 107C lecture (90m), DSC 140A Notes (30m), Math 180C Notes (60m), Psyc 137 Lecture (90m), DSC 106 Lecture (90m), Math 181A Discussion (60m), DSC 140A Lab (50m), DSC 140B HW01 (40m)"
4/5/24,UCSD,n/a,"Salk TorchRL setup (60m), Math 181A Lecture (60m), DSC 140A HW01 (60m), DSC 140A HW01 (90m), Cogs 188 Lecture (60m), DSC 140A HW01 (60m), FMP Update (10m), Training (60m)"
4/6/24,UCSD,n/a,"Psycology idea reading (150m), Psycology idea/algorithm idea (150m), VNL Meeting & Notes (60m), CSE 150B Lecture (120m), Training (150m)"
4/7/24,UCSD,n/a,"Clean, Plan, and Reading (30m), CSE 150B Lecture (120m), TorchRL_VNL Update (200m), Reading (30m), DSC 106 Project 01 (60m), VNL Algorithm (70m), VNL Algorithm (90m), Training (80m)"
4/8/24,UCSD,n/a,"VNL TorchRL Code (60m), Math 181A Lecture (60m), Math 181A Notes (20m), VNL TorchRL Code (150m), Math 181A HW02 (90m), CSE 150B Lecture + Notes (110m), VNL TorchRL (60m), Math 181A HW02 (90m), course planning (30m)"
4/9/24,UCSD,n/a,"DSC 140B Lecture (90m), Math 180C Lecture (90m), Math 180C Notes (20m), DSC 140B Notes (30m), DSC 140A Lecture (90m), Cogs 107C Lecture (90m), Cogs 107C Notes (10m), DSC 140A Notes (30m), Psyc 137 Lecture + Notes (110m), DSC 106 Lecture (90m), DSC 106 Notes (60m), DSC 106 HTML and CSS Lab2 (60m)"
4/10/24,UCSD,n/a,"DSC 140B Exercise 1 (30m), DSC 140B HW1 (35m), Math 181A Lecture + Notes (70m), DSC 140B HW 1 (45m), Math 181A HW 2 (30m), DSC 140A HW1 check (60m), Math 181A hw 2 (30m), CSE 150b Pa1 (80m), CSE 150b Lecture (90m), CSE 150b Pa1 (60m), Training (90m), CSE 150B Notes (20m)"
