week,date,day,type,total,training_summer24,salk_summer24,continual_learning_summer24,cogs180,pp_sumer24,ds_project_summer24,reading_summer24,driving
0,6/15/24,sat,G,655,120,0,0,0,260,275,0,0
0,6/16/24,sun,G,560,0,0,0,0,380,0,180,0
1,6/17/24,mon,G,730,120,250,60,0,120,0,180,0
1,6/18/24,tue,G,700,60,230,290,0,120,0,0,0
1,6/19/24,wed,G,640,0,60,200,0,110,0,0,270
1,6/20/24,thur,G,740,60,160,300,0,70,0,0,150
1,6/21/24,fri,G,660,90,420,0,0,0,0,0,150
1,6/22/24,sat,G,740,0,260,90,0,270,0,0,120
1,6/23/24,sun,I,780,90,0,390,0,150,0,0,150
2,6/24/24,mon,G,735,120,420,0,0,60,0,0,135
2,6/25/24,tue,G,810,120,490,0,0,0,0,0,200
2,6/26/24,wed,G,705,90,360,0,0,120,0,0,135
2,6/27/24,thur,G,760,0,450,0,20,155,0,0,135
2,6/28/24,fri,G,660,120,420,0,0,0,0,0,120
2,6/29/24,sat,I,590,0,210,0,0,260,0,0,120
2,6/30/24,sun,I,510,0,330,0,0,60,0,0,120
3,7/1/24,mon,G,690,0,420,0,90,0,0,0,180
3,7/2/24,tue,G,630,0,330,0,180,120,0,0,0
3,7/3/24,wed,G,735,0,410,0,160,165,0,0,0
3,7/4/24,thur,G,0,0,0,0,0,0,0,0,0
3,7/5/24,fri,G,230,0,30,20,180,0,0,0,0
3,7/6/24,sat,G,0,0,0,0,0,0,0,0,0
3,7/7/24,sun,G,0,0,0,0,0,0,0,0,0
3,7/8/24,mon,I,705,0,330,0,120,255,0,0,0
3,7/9/24,tue,G,800,60,300,330,110,0,0,0,0
3,7/10/24,wed,I,670,0,580,0,90,0,0,0,0
3,7/11/24,thur,G,790,0,180,240,120,250,0,0,0
3,7/12/24,fri,I,530,0,20,0,510,0,0,0,0
3,7/13/24,sat,G,0,0,0,0,0,0,0,0,0
3,7/14/24,sun,G,0,0,0,0,0,0,0,0,0
4,7/15/24,mon,G,960,60,210,0,570,120,0,0,0
4,7/16/24,tue,G,700,60,450,70,120,0,0,0,0
4,7/17/24,wed,G,690,90,300,120,180,0,0,0,0
4,7/18/24,thur,G,780,0,250,260,210,60,0,0,0
4,7/19/24,fri,G,715,100,465,0,150,0,0,0,0
4,7/20/24,sat,G,570,0,480,0,0,90,0,0,0
4,7/21/24,sun,G,570,120,270,30,150,0,0,0,0
5,7/22/24,mon,G,750,100,430,100,120,0,0,0,0
5,7/23/24,tue,G,530,0,180,90,260,0,0,0,0
5,7/24/24,wed,G,510,0,420,0,90,0,0,0,0
5,7/25/24,thur,G,740,80,510,0,150,0,0,0,0
5,7/26/24,fri,G,660,120,270,0,270,0,0,0,0
5,7/27/24,sat,I,250,0,0,0,250,0,0,0,0
5,7/28/24,sun,I,695,90,40,135,430,0,0,0,0
6,7/29/24,mon,G,680,90,270,200,120,0,0,0,0
6,7/30/24,tue,G,570,0,330,180,60,0,0,0,0
6,7/31/24,wed,G,630,90,150,60,120,210,0,0,0
6,8/1/24,thur,G,420,0,300,0,0,120,0,0,0
6,8/2/24,fri,G,660,90,390,0,120,60,0,0,0
6,8/3/24,sat,I,420,0,240,0,0,180,0,0,0
6,8/4/24,sun,I,150,0,60,0,30,60,0,0,0
7,8/5/24,sat,G,750,90,400,0,50,210,0,0,0
7,8/6/24,sun,G,795,0,495,0,0,300,0,0,0
