Time,Location,Notes,Study Materials
12/19/23,La Jolla,n/a,"Planning (180m), RL (230m), Training (70m)"
12/20/23,La Jolla,n/a,Deep RL Learning (250m)
12/26/23,NYC,n/a,"Deep RL Learning + Discussion (300m), Training (120m)"
12/27/23,La Jolla,n/a,"Setup (30m), Deep RL Learning (372m), Training (60m)"
12/28/23,UTC,n/a,"NN Review (180m), Pytorch (250m)"
12/29/23,Regents,n/a,"Pytorch (250m), Pytorch (60m), Pytorch (180m), Training (70m), Pytorch (45m)"
12/30/23,Rgents,n/a,"DeepMind RL Lecture (140m), DeepMind RL Bellman Equation Lecture (180m), DeepMind RL Policy Improvement (70m)"
12/31/23,Regents,New Year,Rest!
1/1/24,Del Mar,n/a,"DP & Model Free RL Prediction (180m), Model Free TD Learning (120m), Model Free RL Control (90m)"
1/2/24,Del Mar,n/a,"On Policy and Off Policy Leraning (150m), Deep Learning (230m), Training (70m)"
1/3/24,Del Mar,n/a,"Brax (45m), Salk Meeting (180m), Notes + Organize (120m), Value Function Approximation + Policy Gradient (150m)"
1/4/24,Seaport,Relax,"RL Policy Gradient (80m), Photo Select (120m)"
1/5/23,Seaport,n/a,"RL Policy Gradient  (60m), RL Summary Understanding (90m), TRPO (30m), TRPO (30m), Training (120m)"
1/6/24,Regnts,n/a,"PPO (60m), Calender (60m), Clean RL (45m)"
1/7/24,Regnts,n/a,"Personal Project (30m), RL SAC, DDPG (120m), Training (90m), RL Idea sorting(120m)"
1/8/24,UCSD,Quarter Start,"Policy Gradient and Value Function Approximation (60m), Calender sorting (45m), TorchRL (60m), Policy Gradient (45m), TorchRL (20m), Revison of Math 18, Planning (60m), Training + Notes (80m), Math 109 Lecture (60m)"
1/9/24,UCSD,lab meet,"Matrix review (30m), Lab meeting (120m), Lab meet notes, MPO (60m), TorchRL (30m), DSC80 Env Setup and notes (60m), Setup Study Plan (20m), Training (60m), Course Check (30m), Math 180B Lecture (90m), Cogs 107B Lecture (90m), DSC 80 Lecture (90m)"
1/10/24,UCSD,VNL meet,"PPO (60m), Training RL + Sign Contract for Salk (45m), Lab Meeting (120m), Notes + understanding + brax (90m), Training (60m), DSC 80 Discussion (30m), Math 109 Lecture (60m)"
1/11/24,UCSD,n/a,"Cogs 107b Lecture (90m), Math 180b Lecture (90m), Notes (10m), Activate Salk Account (20m), Cogs 107B Note (10m), DSC 80 Lecture (90m), Notes (120m), Training (60m), DSC 80 Notes (20m), Training Notes (10m), Playing around with brax (30m)"
1/12/24,UCSD,n/a,"Theoritical Foundation of RL (120m), Math 109 Proof HW01 (120m), Math 109 Lecture (60m), Math 180B Notes (60m), Discussion about class drop (45m)"
1/13/24,UTC,n/a,"Math 180B Notes (10m), DSC80 Lab01 (160m), DSC80 Lab01 Finished First Round (120m), Brax Training Ant (120m), Training (70m), Brax (30m)"
1/14/24,UTC,n/a,"Docker/Github (110m), Planning Birthday Party (60m), Theoritical Foundation of RL with Actor Critic (250m), Training (60m), Theoritical Foundation of RL with Actor Critc, which BOE/BEE and PPO(120m)"
1/15/24,UTC,Holiday,"Ant Brax Training (70m), DSC 80 Debug (70m), Brax Multi Environment Training (50m), Making surprise party plan (45m), Math 18 Review (10m), PPO Implementation (120m), PPO Algorithm (150m)"
1/16/24,UCSD,Salk Orientation,"Salk Orientation (240m), AC code (15m), FMP Meeting (60m), Data Science. Student Society Meeting (60m), DSC80 Lecture (90m), DSC80 Notes (60m), Math 180B Lecture & Notes (150m)"
1/17/24,UCSD,DRL Presentation,"Cogs  107B Lecture (70m), Personal Notes (20m), Policy Gradient Revisited (30m), Cogs 107B Quiz (20m), AC Code (20m), DRL Presenttaion (60m), VNL Meeting (60m), Server discussion (45m), Math 180B OH (10m), DSC 80 Lab Code Check (45m), vnl rodent code (75m), Training (80m), DSC80 Di (60m), rodent implementation (30m), Math 180B HW01 (110m)"
1/18/24,Geisel Lib,Class,"Cogs 107B Lecture  (90m), Math 180B (90m), Math180B Notes (15m), Cogs 107B Notes (90m), Math 180B Understanding (30m), DSC 80 Lecture (90m), DSC80 Notes (10m), DSC80 Project01 (120m), Math 180B HW01 (10m), DSC80 Notes (30m), Connect to Server Salk (20m), Local Environment Setup (35m)"
1/19/24,UCSD,DSC80,"PPO's Implementation (20m), DSC 80 Code Lab02 half (280m), Math 180B Office Hour (70m), DSC80 Project01 (150m), Training (60m), Math 180B HW01 (30m), Thinking (10m)"
1/20/24,UCSD,DSC80 (Group),"Bellman Equation Relooked (45m), DSC80 Project01 Code (180m), DSC90 Project01 Code Debug (60m), DSC 80 Lab02 Code 3 questions (80m), DSC80 Lab02 (90m), DSC80 Lab02 Documenttaion (20m), clean data (20m), Math 180B Review + HW02 (40m), DSC 80 Project 1 2 questions (120m), Brax Implementation (20m)"
1/21/24,UCSD,meet friends,"Brax backend sorting and randomization check (200m), DSC80 (60m), Ideas about what matters (120m)"
