Time,Location,Study Materials (Lecture Counted)
1/6/25,UCSD,"Math 190A Lecture )(60m), setup stuff (20m), Math 190A Lecture notes (10m), check cars (120m), summer research research (60m), contacts (10m), CSE 257 Lecture (90m), Training (80m), CSE 257 notes and ideology (90)"
1/7/25,UCSD,"clean and deal with ant (90m), math 189 lecture (90m), cogs 115 lecture (90m), dealing and resolving conflicts (45m), CSE 251A lecture + notes (110m), SOO meeting (30m), Cogs 164 podcast (10m), CSE 234 lecture + notes (90m), Cogs 164 lecture (30m),  meet Ann (60m), thinking and planning (60m,), learn notion (30m)"
1/8/25,UCSD,"Math190 Lecture (60m), Cogs 101A lecture + notes (60m), notion setup and update (45m), track mjx getting back (30m), cogs 164 reading (30m), chat with friends about what cars to get and get advice (150m), cse 257 (90m), vnl track-mjx dev (60m), chill (30m), cogs 164 paper read (45m)"
1/9/25,UCSD,"Cogs 164 reading (20m), track-mjx dev (10m), VNL meeting (15m), Meet Gao + notes + dev S.O.O. (45m + 130m), Car check (90m), Cogs 164 lecture (90m), chat (60m), cse 234 lecture (90m), cse 234 rewatch (45m), cogs 164 lecture + notes (60m)"
1/10/25,UCSD,"Math 190 lecture, cogs 101a lecture, math 190 notes, cse 234 notes, chat (20m), meeting with Talmo + debug and solve fly issue (150m), cogs 101a notes (45m), screen session track-mjx (10m), training (90m)"
1/11/25,UCSD,"Clean house and laundry stuff (30m), CSE 251B Lecture + notes (210m), SAC reading (60m), Car stuff (60m), Chat (60m)"
1/12/25,UCSD,"Important personal chatting (300m), SAC paper (30m), article build in notion (80m), prepare interview (30m)"
1/13/25,UCSD,"Math 190 lecture + notes + textbook read (80m), cogs 101a lecture (60m), track-mjx. Dev (100m), track-mjx instability issue debug (30m), Linderman's lab interview (60m), CSE 257 lecture (90m), training (90m), track -mjx dev and debug with Charles (70m), Cogs 101A Quiz (20m)"
1/14/25,UCSD,"CSE 251B A1 (120m), math 189 lecture (90m), CSE 251B A1 (60m), CSE 251B A1 (60m), SOO sequential tasks (60m), CSE 251B Lecture (90m), chat and watch ocean (60m), CSE 234 lecture (90m), SOO codebase (60m), CSE 251B notes (30m), Cogs 164 lecture (60m)"
1/15/25,UCSD,"Math 190 Lecture + notes  (80m), Cogs 101A lecture (60m), soo formulation, core question rethink + formulation + notes (20m + 90m + 60m), chat (45m), CSE 251B A1 writing part + coding meeting (90m), training (80m) track-mjx check (20m), math 189 notes (30m)"
1/16/25,UCSD,"Track-mjx meetings (80m), Math 189 lecture (90m), CSE 251B HW writing part + group work with sara (150m), CSE 251B lecture + debug (90m), chat (60m), CSE 234 lecture (90m), CSE 251B debug (120m), CSE 251B notes (20m)"
1/17/25,UCSD,"Cogs  164 DI (60m), Cogs 163 lecture (30m), Cogs 101A Lecture (60m), Cogs 164 lecture (30m), Math 190 lecture (50m), Math 190 notes (20m), CSE 251B A1 debug (60m), math 189 hw1 (45m), training (60m), math 189 notes (30m)"
1/18/25,UCSD,"clean house  (60m), think about yuer's birthday stuff (120m), soo lit (30m), CSE 251B resolve issues with training and debug + q4 solved (120m), CSE 251B coding nuemrical stability question (45m), Soo Reading lterature (45m)"
1/19/25,UCSD,"clean house (35m), add papers and ideas (45m), CSE 251B debug + q5, 6, 7 solving (90m), SOO litearture reviews and expansion + thinking (90m), track-mjx rollout coding (20m), track-mjx rollout coding (90m), cse 251b coding (30m), cook and chat (60m), math 189 notes2 and hw2. (30m)"
1/20/25,UCSD,"clean house (60m), track-mjx metadata storage with orbax dev (90m), chat with yuer and set goals and expectations (120m), Cogs 101A quiz (25m), S.O.O. literature review (60m), training + notes (150m), chat (60m), S.O.O. Literature Search (60m)"
1/21/25,UCSD,"Cogs164 neuroscience of affect weeekly read (90m), Cogs 164 responding assignment (20m), Math 189 lecture (90m), S.O.O. brief meeting about what is important next step - inject inductive biases (30m), RPLH meeting (30m), math 189 lecture notes (40m), CSE 251B code (20m), CSE 251B lecture (90m), training (100m), CSE 234 lecture (90m), chatting with Jess about leaderships + notes (60m), RPLH meeting (30m), CSE 251B notes (30m), SOO meeting and set expecations (90m), CSE 251B notes (50m)"
1/22/25,UCSD,"Meet with Jingbo and get some grasp of academic research ideas (80m), Cogs101A Lecture (60m), send emails (30m), Cogs 164 lecture + notes (90m), CSE 251B debug with TA + commenting + configs changes + running trials (180m), fix scooter (15m), CSE 251B A1 (10m), CSE 257 lecture + notes (120m), chat (30m), math 190 lecture (80m), clean github (30m)"
1/23/25,UCSD,"VNL meeting (60m), insurance check stuff (20m), clean house (15m), math 189 lecture (60m), CSE 251B write ups (60m), Math 189 notes (20m), chill out and think (90m), Cogs 164 weekly reading (60m), CSE  251B lecture (90m), CSE 251B A1 finished (45m), CSE 251B notes (60m), figure our run ai (20m), cse234 lecture (70m), training + notes (120m)"
1/24/25,UCSD,"Cogs 164 lecture (20m), Math 189 notes (70m), Math 190 lecture (70m), Cogs 101A lecture (60m), Salk post doc meeting (60m), track mjx meeting (60m), track-mjx dev metadata and tarining (60m), CSE 251B HW check again (60m), training (90m), making Yuer's gift! (80m)"
1/25/25,UCSD,"Clean house (30m), emailing prof. Linderman (20m), Cogs 101A quiz + review notes (35m), class design (20m), cogs 164 weekly lit finished (100m), prepare Yuer's gift (60m), neuroscience reading for cogs 164 (45m), chat (60m), CSE 251B A2 starting writing part (120m), making yuer's gift (45m)"
1/26/25,UCSD,Chinese New year
